"","AGE","BLUEBOOK","NEW_CAR","CAR_TYPE","CAR_USE","CLM_FREQ","EDUCATION","HOME_VAL","HOMEKIDS","INCOME","JOB","KIDSDRIV","MSTATUS","MVR_PTS","OLDCLAIM","PARENT1","RED_CAR","REVOKED","SEX","TIF","TRAVTIME","URBANICITY","YOJ"
"1",48,21970,0,"Van","Private","0","Bachelors",0,"0",52881,"Manager","0","No","2",0,"No","yes","No","M",1,26,"Urban",11
"2",40,18930,1,"Minivan","Private","1","High School",0,"1",50815,"Manager","1","No","2",3295,"Yes","no","No","M",6,21,"Urban",11
"3",44,5900,0,"SUV","Commercial","0","High School",0,"2",43486,"Blue Collar","0","No","0",0,"Yes","no","No","F",10,30,"Rural",12
"4",35,9230,0,"Pickup","Private","0","High School",0,"2",21204,"Clerical","0","No","0",0,"Yes","no","Yes","M",6,74,"Rural",10.3825
"5",59,15420,1,"Minivan","Private","2","High School",0,"0",87460,"Manager","0","No","4",44857,"No","yes","No","M",1,45,"Urban",12
"6",46,25660,0,"Panel Truck","Commercial","1","Bachelors",207519,"0",0,"Professional","0","Yes","2",2119,"No","no","No","M",1,7,"Urban",14
"7",60,11290,1,"Sports Car","Commercial","0","High School",182739,"0",37940,"Blue Collar","0","Yes","0",0,"No","no","No","F",1,16,"Urban",12
"8",54,24000,0.52,"Panel Truck","Commercial","0","No High School",158432,"0",33212,"Blue Collar","0","Yes","5",0,"No","no","No","M",4,27,"Urban",12
"9",36,27200,0,"Minivan","Commercial","0","Bachelors",344195,"2",130540,"Blue Collar","2","No","0",0,"Yes","no","No","F",4,5,"Rural",12
"10",50,34150,1,"Sports Car","Private","0","PhD",0,"0",167469,"Doctor","0","No","3",0,"No","no","No","F",4,22,"Urban",8
"11",42,23450,0,"Minivan","Commercial","0","High School",176275,"0",52988,"Blue Collar","0","Yes","2",0,"No","no","No","M",1,24,"Rural",11.0130557542166
"12",41,14480,1,"Minivan","Private","0","No High School",148815,"2",17755,"Clerical","0","No","2",0,"Yes","yes","Yes","F",1,29,"Urban",7
"13",37,9360,0.366666666666667,"Sports Car","Commercial","0","High School",0,"2",0,"Blue Collar","1","No","0",0,"Yes","no","No","F",4,62,"Urban",13
"14",36,10700,0,"Minivan","Private","2","Masters",137836,"3",56048,"Lawyer","0","Yes","2",2045,"No","no","No","M",6,15,"Urban",12
"15",34,14690,1,"Minivan","Private","0","High School",123888,"3",22510,"Clerical","0","Yes","0",0,"No","yes","Yes","M",4,26,"Rural",12
"16",35,9730,0,"SUV","Private","0","No High School",0,"2",0,"Blue Collar","0","No","4",0,"Yes","no","No","F",5,43,"Urban",12
"17",44,1500,0.38,"Sports Car","Private","1","No High School",156623,"2",45576,"Blue Collar","2","Yes","8",25276,"No","no","No","F",4,27,"Urban",14
"18",48,23230,0,"Panel Truck","Commercial","0","Masters",195438,"0",61509,"Professional","0","Yes","1",0,"No","yes","No","M",6,40,"Urban",9
"19",62,9170,0,"Sports Car","Private","2","High School",208242,"0",40656,"Clerical","0","Yes","2",42342,"No","no","Yes","F",4,57,"Urban",15
"20",39,10850,0,"SUV","Private","1","Bachelors",0,"0",33727,"Clerical","0","No","2",8350,"No","no","No","F",1,27,"Urban",11
"21",38,17470,0,"Van","Commercial","2","High School",0,"0",0,"Student","0","Yes","5",3157,"No","no","No","M",10,41,"Rural",0
"22",39,8750,0,"Sports Car","Private","0","High School",69369,"2",0,"Home Maker","0","Yes","0",0,"No","no","No","F",4,36,"Urban",0
"23",44,21790,0,"Minivan","Private","0","Masters",365256,"2",142588,"Manager","2","Yes","2",0,"No","yes","No","M",6,28,"Urban",13
"24",45,13770,1,"SUV","Private","0","High School",0,"0",32394,"Clerical","0","No","0",0,"No","no","No","F",4,33,"Urban",12
"25",43,8350,0,"SUV","Private","0","Bachelors",70170,"1",0,"Home Maker","0","Yes","3",0,"No","no","No","F",1,26,"Urban",0
"26",64,14620,1,"SUV","Commercial","2","No High School",197010,"0",31738,"Blue Collar","0","Yes","0",3994,"No","no","No","M",6,23,"Urban",15
"27",60,7500,0,"Pickup","Commercial","2","PhD",0,"0",125893,"Manager","0","No","4",7278,"No","yes","No","M",9,21,"Urban",9
"28",35,20450,1,"SUV","Private","1","Bachelors",397868,"4",154577,"Blue Collar","2","No","3",4645,"Yes","no","No","F",6,27,"Urban",6
"29",52,13150,1,"SUV","Private","0","High School",270032,"0",79348,"Manager","0","Yes","2",0,"No","no","No","F",11,23,"Urban",11
"30",56,21100,0.0499999999999999,"Van","Commercial","0","PhD",471701,"2",192089,"Manager","0","Yes","0",0,"No","yes","No","M",1,31,"Urban",14
"31",55,12320,0,"SUV","Private","0","Masters",329756,"0",108152,"Manager","0","Yes","0",0,"No","no","Yes","F",1,18,"Urban",15
"32",26,20920,0,"Van","Commercial","1","Bachelors",0,"0",53244,"Professional","0","No","1",6224,"No","yes","No","M",3,28,"Urban",8
"33",52,13630,0,"Minivan","Private","0","Masters",244028,"0",88560,"Lawyer","0","Yes","4",0,"No","no","No","M",1,14,"Urban",8
"34",41,16640,0,"Van","Commercial","0","Masters",335488,"0",110386,"Manager","0","Yes","2",0,"No","yes","No","M",1,21,"Urban",12
"35",49,12360,1,"SUV","Private","0","Bachelors",0,"0",53765,"Professional","0","No","0",0,"No","no","No","F",4,5,"Urban",12
"36",30,23610,1,"SUV","Private","0","High School",165178,"2",26226,"Clerical","0","Yes","1",0,"No","no","No","F",4,68,"Rural",12.034
"37",34,22560,0.3775,"Minivan","Private","0","No High School",143149,"3",29431,"Clerical","1","Yes","1",0,"No","no","No","F",1,12,"Urban",12
"38",44,19800,0,"Pickup","Commercial","1","Masters",205463,"0",44790,"Manager","0","Yes","4",37163,"No","no","No","F",4,5,"Urban",14
"39",49,10230,0,"Pickup","Private","0","Masters",133010,"0",38326,"Lawyer","0","Yes","0",0,"No","yes","No","M",4,5,"Urban",11.9440277777778
"40",40,9740,1,"SUV","Private","1","No High School",141167,"2",35260,"Blue Collar","1","Yes","8",2235,"No","no","No","F",7,30,"Urban",12
"41",26,7690,0,"Pickup","Commercial","0","Bachelors",104323,"3",33283,"Blue Collar","0","Yes","2",0,"No","no","No","M",10,37,"Urban",9
"42",46,15080,1,"SUV","Private","0","No High School",134863,"0",26697,"Clerical","0","Yes","4",0,"No","no","Yes","F",6,43,"Urban",7
"43",50,18720,0,"Van","Private","0","Masters",240645,"0",73308,"Lawyer","0","No","2",0,"No","no","No","M",7,38,"Rural",7
"44",62,17880,1,"Sports Car","Private","3","High School",185459,"0",22181,"Clerical","0","No","5",9873,"No","no","No","F",7,24,"Urban",12
"45",53,24160,0,"Minivan","Private","0","Bachelors",164906,"1",52759,"Professional","0","Yes","0",0,"No","no","No","F",9,41,"Rural",13
"46",44,6720,0,"Pickup","Commercial","0","Masters",357184,"0",146267,"Professional","0","Yes","0",0,"No","no","No","M",4,51,"Urban",4
"47",48,15060,0,"SUV","Private","1","Bachelors",308848,"1",84629,"Manager","0","Yes","0",9592,"No","no","No","F",7,35,"Urban",10
"48",45,24600,0,"Van","Private","2","Masters",288071,"2",111268,"Lawyer","1","Yes","2",28026,"No","no","Yes","F",1,46,"Urban",17
"49",41,26250,0,"Pickup","Private","0","Bachelors",0,"0",97700,"Home Maker","0","No","0",0,"No","no","No","F",8,43,"Rural",10
"50",32,7800,0,"SUV","Private","0","High School",111256,"3",30955,"Clerical","0","No","0",0,"Yes","no","Yes","F",4,9,"Urban",13
"51",49,6400,0,"Pickup","Commercial","0","Masters",261946,"1",89612,"Professional","0","Yes","0",0,"No","yes","No","M",10,23,"Urban",15
"52",41,26480,0,"Sports Car","Private","3","Bachelors",0,"0",80718,"Professional","0","No","5",8623,"No","no","No","F",11,29,"Urban",12
"53",44,10510,1,"Pickup","Commercial","3","High School",169084,"2",46140,"Blue Collar","1","Yes","7",4276,"No","no","No","M",1,29,"Urban",15
"54",47,14210,0,"Minivan","Private","0","Masters",0,"0",80105,"Manager","0","No","1",0,"No","yes","No","M",6,29,"Urban",12
"55",41,5850,0,"Pickup","Commercial","1","No High School",0,"2",0,"Student","2","Yes","5",9419,"No","yes","No","M",1,43,"Rural",8
"56",41,13470,0,"Minivan","Commercial","0","Bachelors",265450,"2",78675,"Blue Collar","0","No","0",0,"Yes","yes","No","M",11,33,"Urban",10
"57",50,23370,0,"Panel Truck","Commercial","2","PhD",0,"0",219024,"Manager","0","No","4",4117,"No","yes","No","M",4,27,"Urban",10
"58",51,12160,0,"SUV","Private","1","Masters",0,"0",55573,"Lawyer","0","No","6",9768,"No","no","No","F",1,18,"Urban",10
"59",53,11270,0,"Pickup","Private","0","PhD",245885,"0",61862,"Doctor","0","Yes","0",0,"No","yes","No","M",1,33,"Urban",8
"60",32,7270,1,"SUV","Private","0","No High School",128776,"3",21944,"Blue Collar","0","Yes","1",0,"No","no","Yes","F",1,34,"Urban",14
"61",48,10000,0,"SUV","Private","0","Masters",176219,"0",42008,"Lawyer","0","Yes","0",0,"No","no","No","F",4,23,"Rural",14
"62",54,15910,0,"SUV","Private","0","Masters",261569,"0",90149,"Manager","0","Yes","1",0,"No","no","No","F",4,17,"Urban",8
"63",55,17020,0,"Van","Commercial","2","Masters",0,"0",75249,"Manager","0","No","1",1316,"No","yes","No","M",1,5,"Urban",15
"64",51,20320,0,"Minivan","Private","2","Masters",0,"0",117016,"Manager","0","No","6",1197,"No","no","No","F",4,23,"Urban",11
"65",47,13850,0,"Minivan","Private","0","Bachelors",229334,"0",76462,"Professional","0","Yes","0",0,"No","yes","No","M",6,29,"Urban",7
"66",44,2640,0,"Sports Car","Private","2","Masters",70461,"1",0,"Home Maker","0","Yes","1",2219,"No","no","No","F",4,19,"Urban",2.40111111111111
"67",36,5100,0,"SUV","Commercial","2","High School",134406,"0",20891,"Blue Collar","0","Yes","9",2949,"No","no","No","F",1,39,"Urban",13
"68",35,19340,1,"Minivan","Private","3","No High School",102902,"2",17493,"Clerical","0","No","7",5658,"Yes","no","No","F",9,52,"Urban",10
"69",43,18060,0,"SUV","Private","0","Masters",136304,"0",39848,"Lawyer","0","No","0",0,"No","no","No","F",8,45,"Urban",11
"70",42,28700,0,"SUV","Commercial","0","Bachelors",0,"1",117978,"Blue Collar","0","No","0",0,"Yes","no","No","F",1,17,"Rural",12
"71",56,20940,0,"Minivan","Private","0","Bachelors",0,"0",62483,"Manager","0","Yes","0",0,"No","no","No","F",6,18,"Urban",12
