"","TARGET_FLAG","TARGET_AMT","AGE","BLUEBOOK","CAR_AGE","CAR_TYPE","CAR_USE","CLM_FREQ","EDUCATION","HOME_VAL","HOMEKIDS","INCOME","JOB","KIDSDRIV","MSTATUS","MVR_PTS","OLDCLAIM","PARENT1","RED_CAR","REVOKED","SEX","TIF","TRAVTIME","URBANICITY","YOJ"
"1","0",0,60,14230,18,"Minivan","Private","2","PhD",0,"0",67349,"Professional","0","No","3",4461,"No","yes","No","M",11,14,"Urban",11
"2","0",0,43,14940,1,"Minivan","Commercial","0","High School",257252,"0",91449,"Blue Collar","0","No","0",0,"No","yes","No","M",1,22,"Urban",11
"3","0",0,35,4010,10,"SUV","Private","2","High School",124191,"1",16039,"Clerical","0","Yes","3",38690,"No","no","No","F",4,5,"Urban",10
"4","0",0,51,15440,6,"Minivan","Private","0","No High School",306251,"0",92346.2013333333,"Blue Collar","0","Yes","0",0,"No","yes","No","M",7,32,"Urban",14
"5","0",0,50,18000,17,"SUV","Private","2","PhD",243925,"0",114986,"Doctor","0","Yes","3",19217,"No","no","Yes","F",1,36,"Urban",11.4916666666667
"6","1",2946,34,17430,7,"Sports Car","Commercial","0","Bachelors",0,"1",125301,"Blue Collar","0","No","0",0,"Yes","no","No","F",1,46,"Urban",12
"7","0",0,54,8780,1,"SUV","Private","0","No High School",142786.399333333,"0",18755,"Blue Collar","0","Yes","0",0,"No","no","No","F",1,33,"Urban",11.6716666666667
"8","1",4021,37,16970,7,"Van","Commercial","1","Bachelors",333680,"2",107961,"Blue Collar","1","Yes","10",2374,"No","yes","Yes","M",1,44,"Urban",12.058
"9","1",2501,34,11200,1,"SUV","Private","0","Bachelors",0,"0",62978,"Clerical","0","No","0",0,"No","no","No","F",1,34,"Urban",10
"10","0",0,50,18510,17,"Van","Commercial","0","Bachelors",0,"0",106952,"Professional","0","No","1",0,"No","no","No","M",7,48,"Rural",7
"11","1",6077,53,18300,11,"Sports Car","Private","0","Masters",0,"0",77100,"Lawyer","0","No","0",0,"No","no","No","F",1,15,"Urban",14
"12","0",0,43,22420,1,"Minivan","Private","0","Masters",209970,"0",52642,"Professional","0","Yes","0",0,"No","no","No","F",7,36,"Rural",5
"13","0",0,55,17600,9,"Van","Commercial","2","Bachelors",180232,"0",59162,"Manager","0","Yes","3",5028,"No","yes","Yes","M",7,25,"Urban",11
"14","1",1267,53,28340,10,"Panel Truck","Commercial","0","PhD",0,"0",130795,"Manager","0","No","3",0,"No","yes","No","M",6,64,"Urban",11
"15","1",2920.16732,45,6000,5,"SUV","Private","0","No High School",106859,"0",0,"Home Maker","0","Yes","3",0,"No","no","No","F",1,48,"Urban",0
